date,source,doc_type,title,text_path,asset
2024-11-06,dataset\Institutional Analysis Report\Monetary\20241106_JP_Morgan_-USD_FX_Technical_Update-_EUR_bounces_from_trend_support_agai.pdf,REPORT,20241106_JP_Morgan_-USD_FX_Technical_Update-_EUR_bounces_from_trend_support_agai,data\global\monetary_text\20241106_JP_Morgan_-USD_FX_Technical_Update-_EUR_bounces_from_trend_support_agai.txt,GLOBAL
2024-11-12,dataset\Institutional Analysis Report\Monetary\20241112_JP_Morgan_-USD_Real_Estate_-_Capital_Goods-_US_Election_Impact-_All_Eye.pdf,REPORT,20241112_JP_Morgan_-USD_Real_Estate_-_Capital_Goods-_US_Election_Impact-_All_Eye,data\global\monetary_text\20241112_JP_Morgan_-USD_Real_Estate_-_Capital_Goods-_US_Election_Impact-_All_Eye.txt,GLOBAL
